filename,title,prefix,namespace_uri,description,version,license,creators,date_modified,date_issued,see_also,imports,classes,properties,primary_domain,secondary_domain,cluster,conforms_to
dices.ttl,Digital Construction Energy,dices,https://w3id.org/digitalconstruction/0.5/Energy#,"Digitial Construction Energy Systems ontology is defined to address lifecycle assessment parameters of energy systems. It extends the SAREF Core ontology by incorporating concepts (e.g. cost related parameters, LCA related aspects etc..) relevant to lifecycle assessment.",0.5,https://creativecommons.org/licenses/by/4.0/,"Kostas Tsatsakis, Spiros Kousouris, SUITE5",,2019,https://digitalconstruction.github.io/Energy/v/0.5/,"dc, unit, vann, terms, quantitykind, dice, dici, dicp, dicu, dicv",,,Energy,,Digital Construction,
dici.ttl,Digital Construction Information,dici,https://w3id.org/digitalconstruction/0.5/Information#,"Digital Construction Information ontology defines the concepts and relations for information content entities in construction and renovation domain. Examples of such entities are BIM models, drawings, point clouds, plans, contracts, issues, and messages. It also includes more technical information enties such as variables, labels, scenarios, and so on. The model covers specifically the different information contents and does not address the question on which physical physical carriers (paper, disk, claoud storage, ...) the content is stored.",0.5,https://creativecommons.org/licenses/by/4.0/,"Seppo Törmä, Yuan Zheng",,2020-01-12,https://digitalconstruction.github.io/Information/v/0.5/,"dc, vann, terms, dica, dicc, dice, dicp, dicv",,,Information Management,,Digital Construction,
dicl.ttl,Digital Construction Lifecycle,dicl,https://w3id.org/digitalconstruction/0.5/Lifecycle#,"An ontology to represent the enhancement of building data throughout the construction lifecycle stages. The final goal is to describe clearly activities, tasks, and sequences, their interrelation to stakeholders involved and the required information.",0.5,https://creativecommons.org/licenses/by/4.0/,Janakiram Karlapudi (janakiram.karlapudi@tu-dresden.de),,2022,https://digitalconstruction.github.io/Lifecycle/v/0.5/,"vann, terms, prov, dica, dicc, dice, dicp",,,Production (Process),,Digital Construction,"BS EN 16310:2013, HOAI, RIBA, ISO 22263"
diclvl.ttl,A vocabulary for LOD levels,diclvl,https://w3id.org/digitalconstruction/0.5/Levels#,"Digital Construction Levels vocabulary defines LOD systems and their specific levels as individuals. Note that as this module is a vocabulary, it only specifies named individuals (instances of classes), and does not define any new classes or properties.",0.5,,"Janakiram Karlapudi (janakiram.karlapudi@tu-dresden.de), Prathap Valluru (prathap.valluru@tu-dresden.de)",,,,"terms, vann, dicl",,,BE Product (Building),BE Product (Infrastructure),Digital Construction,
dicm.ttl,Digital Construction Materials,dicm,https://w3id.org/digitalconstruction/0.5/Materials#,"The Digital Construction Building Material Ontology (DICBM) defines the necessary relationships between building elements, constructions’ details, materials and their properties. It aims to provide information related to construction details, materials, properties, values and units.",0.5,CC BY 4.0,"Janakiram Karlapudi (janakiram.karlapudi@tu-dresden.de), Prathap Valluru (prathap.valluru@tu-dresden.de)",,2021-04-21T16:00:00,https://digitalconstruction.github.io/Materials/v/0.5/,"dc, dct, vann, quantitykind, dice, dicv, dicu",,,Materials,,Digital Construction,
dicob.ttl,Digital Construction Occupancy,dicob,https://w3id.org/digitalconstruction/0.5/Occupancy#,"Ontology of occupants behaviour inside a building, including environmental conditions and users’ interactions set the parameters for an accurate comfort behavioural profile. Towards this direction, the scope of this ontological model is to align environmental data with users preferences under a common framework in order to define a dynamically adaptive comfort profiling model in a building environment. Extensions to the base ontologies (BOT, SSN) apply in order to address the specific requirements for the model framework.",0.5,https://creativecommons.org/licenses/by/4.0/,"Kostas Tsatsakis, Spiros Kousouris",,2020-01-12,https://digitalconstruction.github.io/Occupancy/v/0.5/,"dc, vann, terms, dica, dice, dici, dicp, dicu, dicv",,,Comfort,Safety,Digital Construction,
dicp.ttl,Digital Construction Processes,dicp,https://w3id.org/digitalconstruction/0.5/Processes#,"Process ontology provides the concepts for the activities and their relationships between different entities (building objects, information entities, resources, and the environment). The relationships are represented with variables and constraints.",0.5,https://creativecommons.org/licenses/by/4.0/,"Seppo Törmä, Yuan Zheng",,2019-12-20,https://digitalconstruction.github.io/Processes/v/0.5/,"dc, dcterms, vann, dice, dicv",,,Production (Process),,Digital Construction,
dicstg.ttl,A vocabulary for BLCS stages,dicstg,https://w3id.org/digitalconstruction/0.5/Stages#,"Digital Construction Stages vocabulary defines product lifecycle stage frameworks and their specific stages as individuals. Note that as this module is a vocabulary, it only specifies named individuals (instances of classes), and does not define any new classes or properties.",0.5,,"Janakiram Karlapudi (janakiram.karlapudi@tu-dresden.de), Prathap Valluru (prathap.valluru@tu-dresden.de)",,,,"terms, vann, dicl",,,Production (Process),,Digital Construction,
dicu.ttl,Digital Construction Units,dicu,https://w3id.org/digitalconstruction/0.5/Units#,"Digital Construction Units vocabulary defines units and quantity kinds that are specific to construction and renovation projects, for instance, concerning energy simulation results. Digital Construction Units vocabulary defines quantity kind and unit of measure individuals that are relevant in construction and renovation domain but not available in the Units and Quantitykind vocabularies of QUDT . Examples are various energy efficiency and cost related units. Note that as this module is a vocabulary, it only specifies named individuals (instances of classes), and does not define any new classes or properties.",,CC BY 4.0,,,2019,,"qudt, unit, vann, dicv",,,Energy,Cost,Digital Construction,
dicv.ttl,Digital Construction Variables,dicv,https://w3id.org/digitalconstruction/0.5/Variables#,"Ontology of objectified properties, variables and constraints. Variables are needed to represent the intermediate stages of problem solving or decision making that are encountered, for example, in planning and scheduling processes. Variables are defined as a class that resembles rdf:Statement used for RDF reification. A variable has a VariableDomain that is an instance-level representation for the set of possible values that can be given to the variable. Constraints are associated to variables, and they can concern one, two or more variables.",0.5,https://creativecommons.org/licenses/by/4.0/,Seppo Törmä,,2020-01-12,https://digitalconstruction.github.io/Variables/latest/,"dc, dcterms, vann",,,Production (Process),,Digital Construction,
dogont.ttl,DogOnt: Ontology Modeling for Intelligent Domotic Environments,dogont,https://iot-ontologies.github.io/dogont/documentation/index-en.html#,"The DogOnt ontology aims at offering a uniform, extensible model for all devices being part of a “local” Internet of Things inside a smart environment. Its major focus is on device modeling, for all the aspects needed to abstract device “capabilities” from low-level idiosyncrasies and communication issues.",4.0.2,Apache-2.0,Dario Bonino (dario.bonino@gmail.com),,2019-03-26,https://iot-ontologies.github.io/dogont/documentation/index-en.html,"cc, dcterms, gr, vann, foaf",,,IoT Sensors/Actuators,,,
dor.ttl,Decommissioning and Reuse Ontology,dor,https://z-arghavan.github.io/DORF/,"This is an ontology for the Semantic Material Bank, End-of-Life cycle and circular transformation. 
This ontology would serve as a standardized representation of the concepts and relationships involved in the material reuse process, providing a common framework for data integration and analysis, and facilitating knowledge sharing among stakeholders in the building deconstruction and material reuse community. The DOR ontology describes the concepts and relationships involved in the process of decommissioning a building, reclaiming reusable product, and supporting the reuse assessment and decision-making for later use in new construction projects. 
Additionally, DOR ontology would supports the processes involved in depositing reclaimed materials in a material bank,digital disgnosis, the conditions for acceptance of a material bank for second life cycle reuse, and the documentation required to ensure proper tracking and accounting of the materials in the construction industry..",,"http://creativecommons.org/licenses/by/4.0/
""DOR"" by ""Arghavan Akbarieh"" developer groups is
licensed under CC BY 4.0. You are free to share (copy and redistribute
the material in any medium or format) and adapt (remix, transform, and
build upon the material) for any purpose, even commercially. for any
purpose, even commercially. The licensor cannot revoke these freedoms as
long as you follow the license terms. You must give appropriate credit
(by using the original ontology IRI for the whole ontology and original
term IRIs for individual terms), provide a link to the license, and
indicate if any changes were made. You may do so in any reasonable
manner, but not in any way that suggests the licensor endorses you or
your use.
""DOR""by Arghavan Akbarieh is licensed
under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/).",,,2023,https://orbilu.uni.lu/handle/10993/58846,"dcterms, bot, bpo, dicm",,,Circular Economy,Materials,,ISO/DIS 59004
dot.ttl,Damage Topology Ontology,dot,https://w3id.org/dot#,The Damage Topology Ontology (DOT) allows the definition of damage representations and their relations with other damages and affected construction components.,0.8,https://creativecommons.org/licenses/by/1.0,"n3222e1fe66af4fc6a305d8bd72ea21eeb1, https://www.researchgate.net/profile/Mathias_Bonduel",,2019-02-17,https://alhakam.github.io/dot/,"brot, foaf, voaf, vann, schema, dcterms, bot",,,Quality,Safety,,
dstv.ttl,DSTV:Steel Construction Ontology,dstv,http://w3id.org/dstv#,"Represents steel construction components, profiles, tolerances, and manufacturing processes to enable semantic integration into robotics and automation systems. Supports the DSTV‑NC standard by formalizing process data and quality metrics for steel fabrication workflows.",1.0,,"Victoria Jung, Lukas Kirner, Jyrki Oraskari, Timur Kuzu, Individualized Production RWTH Aachen",,2025-08-04,https://ip.pages.rwth-aachen.de/ioc/dstv-ontologie/,"dc, dcterms, vann, schema, prov, ioc, ifc4-add2",,,BE Product (Building),Quality,,
dtc.ttl,Digital Twin Construction Ontology,dtc,https://dtc-ontology.cms.ed.tum.de/ontology#,"The Digital Twin Construction Ontology enables representing the most important concepts that are relevant for a digital twin of a construction site. It explicitly defines the project intent and project status. While the project intent describes the project aim in the form of, e.g., the construction schedule and a 3D building design, the project status describes the situation on the construction site as it was actually observed. In this way, project intent and status can be directly compared to identify any deviations between the two. The project intent is further differentiated into as-planned when referring to processes and as-designed when referring to processes and their required resources. Their counterparts of the project status are as-performed and as-built. The ontology is centred around the construction processes (dtc:Process). These are defined on three levels of detail. The processes have various types of construction resources (dtc:Resource) that are required for their execution, dedicated areas where they are performed (dtc:WorkingZone), preconditions that restrict their starting time (dtc:Precondition), and building elements (bot:Element) that result from their completion. The ontology is designed to form the starting point for representing digital twins of the construction phase. It is by no means an exhaustive list of all concepts related to Digital Twin Construction. The concepts defined here represent core concepts, which should be extended with domain-specific ontologies to cover specific digital twin use cases related to the construction phase.",,CC BY 4.0,,,2023-11-00,,"dc, dcterms, wgs84_pos, skos, vcard, foaf, pi, schema, geosparql, beo, bot",,,Production (Process),BE Product (Building),,
eco.ttl,ECO - Eurocode Core Ontology,ec,https://www.w3id.org/eurocodes/ec1990#,"The Eurocode Core Ontology (ECO) provides a formal semantic representation of foundational concepts from the Eurocodes, the European standards for structural design. It enables machine-readable interpretation of regulatory knowledge, supporting automated reasoning, semantic interoperability, and integration with engineering workflows. ECO is designed as a modular, extensible framework for use in intelligent, standards-compliant design tools within the AECO industry.",1.0.0,CC BY 3.0,"Agnieszka Jędrzejewska (agnieszka.jedrzejewska@polsl.pl), Maria Laura Leonardi (mlauraleonardi@gmail.com), Carlos Ramonell Cazador (carlos.ramonell@upc.edu)",,2025-06-30,"https://mlaura1996.github.io/EC1990/, https://doi.org/10.1016/j.aei.2025.104218","cc, dcterms, vann, skos, bot",,,Structural (Performance),,,
eepsa.ttl,The EEPSA Ontology.,eepsa,https://w3id.org/eepsa#,The EEPSA (Energy Efficiency Prediction Semantic Assistant) ontology puts together all the ontology modules and ODPs that form the EEPSA Ontology. It structures semantic guidance for energy efficiency modeling using the Ontology Design Patterns. Supports KDD-driven decision workflows for building performance optimization.,2.0,CC BY,"Iker Esnaola-Gonzalez <mailto:iker.esnaola@tekniker.es>
Jesús Bermúdez <mailto:jesus.bermudez@ehu.eus>",,2018-12-12,https://iesnaola.github.io/eepsa/EEPSA/index-en.html,"cc, dc, dcterms, bibo, vann, voaf, vs",,,Energy,,,
emmo.ttl,Elementary Multiperspective Material Ontology (EMMO),emmo,http://emmo.info/emmo#,"Developed by the European Materials Modelling Council, this ontology provides a physics-informed framework to describe materials from elementary particles to macroscopic structures supporting standardized modeling in materials science across scales and disciplines.",1.0.1,https://creativecommons.org/licenses/by/4.0/legalcode,"https://w3id.org/emmo#AdhamHashibon, https://w3id.org/emmo#EmanueleGhedini, https://w3id.org/emmo#GeorgSchmitz, https://w3id.org/emmo#GerhardGoldbeck, https://w3id.org/emmo#JesperFriis, https://emmc.eu",,2025-03-27,https://emmo-repo.github.io/,"bibo, foaf, vann, dcterms",,,Materials,,,
esair.ttl,calidad-aire,esair,http://vocab.linkeddata.es/datosabiertos/def/medio-ambiente/calidad-aire#,The vocabulary extends the W3C Semantic Sensor Network Ontology (SOSA) with properties that are specific for the representation of air quality data.,Ontología para describir datos de calidad del aire en una ciudad. En la versión 0.2 se añdieron referencias al tesauro de contaminantes (http://dd.eionet.europa.eu/vocabulary/aq/pollutant/) publicado por la European Environment Agency. En la versión 1.0 se ha actualizado la ontología a la última versión de la W3C Semantic Sensor Network Ontology (SOSA). En la versión 1.0.1 se han añadido tres nuevas propiedades que pueden ser medidas,Creative Commons Attribution 4.0 International (CC BY 4.0),"Hugo Lafuente (Localidata), Oscar Corcho (Ontology Engineering Group - Universidad Politécnica de Madrid, Localidata)",,2019-04-03,http://vocab.linkeddata.es/datosabiertos/def/medio-ambiente/calidad-aire#,"cc, dbr, dc, dcterms, vann, sosa",,,IoT Sensors/Actuators,Air (quality),,
facility.ttl,Facility Ontology,facility,https://cogito.iot.linkeddata.es/def/facility#,The COGITO Facility ontology aims at modelling facilities in the construction domain. It supports semantic representation of facility structures spaces and relationships enabling integration of facility related information within digital construction and facility management workflows.,0.12.0,http://purl.org/NET/rdflicense/cc-by4.0,"María Poveda Villalón, Raúl García Castro, Socorro  Bernardos Galindo",,2022,https://cogito.iot.linkeddata.es/def/facility/,"dc, dcterms, pi, s4bldg, geosparql, beo, bot",,,BE Product (Building),,COGITO,
ffdr.ttl,Firefighters' Data Requirements Ontology,ffdr,https://purl.org/ffdr-ontology#,"Defines building and environmental data needed by firefighters during emergencies. Captures spatial layouts, hazard indicators, and operational parameters to improve decision-making and response strategies. The ontology  ontology can be a basis for developing intelligent tools and systems that collect building components and environmental data from different sources.",V 2.0.0,"This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International.
 
License: https://creativecommons.org/licenses/by-nc/4.0/","Eyosias Guyo

Technische Universität Berlin, Germany
Trimble Solutions Oy, Finland

eyosias.guyo@trimble.com, Timo Hartmann

Technische Universität Berlin, Germany",,2022,https://doi.org/10.1016/j.aei.2023.101992,dcterms,,,Fire Safety,,,
fm-ener.ttl,Facility Management Building Energy Ontology for Renovative Design Decisons,fm-ener,,"FM Domain Ontology can be used as a part of a knowledge base in a BIM-supported Facility Management Knowledge Management System. One of the primary goals of this system could be to check if a building design, represented in the form of BIM, is compliant with energy performance-related FM design criteria. Accordingly, with the help of the FM Domain Ontology, an integrated and accelerated building design process can be established, where Design Experts can proactively ensure the optimal energy consumption of newly renovated facilities. The ontology contains the Paragraph 405.9.1.1, Paragraph 405.9.1.2, and Paragraph 405.9.1.3 of the International Energy Conservation Code (IECC) 2021  in the form of natural text, as well as in the form of SWRL rules.",,CC BY 4.0,,,2022,https://depositonce.tu-berlin.de/handle/11303/17259,"OWL, swrl, swrla, swrlb",,,Facilities Management,Energy,,
fmo.ttl,Failure Mechanism Ontology,fmo,https://w3id.org/fmo#,"The primary objective of the Failure Mechanism Ontology (FMO) is to represent masonry walls taking into account features and vulnerabilities that leads to a specific type of failure mechanism. This ontology is complementary to the Historic Masonry Ontology (HMO), of which represents an extension. The recommended prefix for this ontology is FMO, and its proposed namespace is https://w3id.org/fmo#. By utilizing the FMO ontology, it becomes possible to determine whether the structure is more susceptible to out-of-plane collapse or if in-plane failures are more likely. The scope is to facilitate the definition of the modeling assmptions, while employing global models for the structural analysis of unreinforced masonry constructions.",0.1,https://creativecommons.org/licenses/by/1.0,"Maria Laura Leonardi, Stefano Cursi, Elena Gigliarelli, José Granja, Daniel Oliveira, Miguel Azenha.",,2024-04-29,https://mlaura1996.github.io/FailureMechanismOntology/,"swrl, swrla, swrlb, terms, dot, hmo, beo",,,Quality,Structural (Performance),,
fog.ttl,FOG: File Ontology for Geometry formats,fog,https://w3id.org/fog#,"The File Ontology for Geometry formats (FOG) provides geometry schema specific relations between things (e.g. building objects) and their geometry descriptions. These geometry descriptions can be (1) RDF-based (e.g. using specific ontologies such as GEOM, OntoBREP, etc.), (2) RDF literals containing embedded geometry of existing geometry formats and (3) RDF literals containing a reference to an external geometry file. The FOG ontology extends the Ontology for Managing Geometry (OMG) and consists of three taxonomies of properties. The first two are related to standalone geometry descriptions, i.e. one for RDF-based geometry schemas with as root object property the omg:hasComplexGeometryDescription and one for existing geometry schemas that can be represented using RDF literals with as root datatype property omg:hasSimpleGeometryDescription. This first series of properties (e.g. fog:asGltf) is then splitted per version of the geometry schema (e.g. fog:asGltf_v2.0), which are again splitted further if the geometry format consists of different kind of files (e.g. fog:asGltf_v2.0-glb). The last taxonomy of properties extends the OMG datatype property omg:hasReferencedGeometryId and allows to define a geometry description as part of a larger geometry description, by mentioning the ID of the geometry object related to the geometry schema used. If a geometry schema contains multiple types of IDs, a distinction is made by defining more specific subproperties (e.g. fog:hasRevitId-element). The FOG ontology is incomplete by nature, as it is impossible to contain all existing geometry schemas.",0.0.4,CC BY 4.0,"https://www.researchgate.net/profile/Anna_Wagner13, https://www.researchgate.net/profile/Mathias_Bonduel, https://www.researchgate.net/profile/Pieter_Pauwels",,2020-01-14,https://w3id.org/fog#,"cc, dbp, dbr, dcterms, foaf, vann, voaf, wd, geosparql, omg",,,Geometry,,,
fso.ttl,The Flow Systems Ontology (FSO),fso,http://www.w3id.org/fso#,"Describes interconnected systems with material or energy flows. Represents components, connections, and operational states to enable analysis of building services and energy networks.",0.1.0,https://creativecommons.org/licenses/by/1.0/,"Ali Kücükavci, Mads Holten Rasmussen, Ville Kukkonen",,2020-08-06T12:00:00,https://github.com/alikucukavci/FSO/,"vann, voaf, dcterms",,,Facilities Management,Energy,,
geosparql.ttl,GeoSPARQL Ontology,geo,http://www.opengis.net/ont/geosparql#,"An OGC standard ontology for representing and querying geospatial data in RDF. Defines classes and properties for geometries, spatial relationships, and topological operations. Enables semantic interoperability across GIS and linked data applications. GeoSPARQL does not define a comprehensive vocabulary for representing spatial information. Instead GeoSPARQL defines a core set of classes, properties and datatypes that can be used to construct query patterns.",OGC GeoSPARQL 1.1,https://www.ogc.org/license,"OGC GeoSPARQL Standards Working Group, n2cbb74aaccb94c1f953302a46a255b73b1",,2021-10-27,https://opengeospatial.github.io/ogc-geosparql/,"dcterms, sdo, vann, skos, spec11, dbr",,,Geographic Information,,,OGC
gis4reno.ttl,GIS-based ontology for surrounding buildings to support building renovation,gis4reno,,"The ontology can be useful to create a knowledge management system for different experts involved in the process of the building renovation, to extend the in-formation and stretch the domain from the individual building to the environment. Knowledge about what entities and attributes to select is captured based on literature and investigating the pilot demonstration sites. An ontology can help to structure the surrounding data to support processes in different stages of the renovation. The final goal is to support planners in decision making process namely in site planning and pre-data collection phase, energy modelling, comfort analysis and so on to control cost and quality.",,GNU GPLv3,,,2020,https://depositonce.tu-berlin.de/handle/11303/11235,,,,BE Product (Building),,,
hbpo.ttl,Holistic Building Performance Ontology,hbpo,,"HBPO is designed to be unified and generalized building performance ontology as a comprehensive knowledge repository that bridges the gap between building information and performance models and embodies form, function, and behavior. HBPO focuses on acoustic, lighting, and energy domains as subsets to represent a range of sufficiently different domains. It encompasses essential data, relationships, and information requirements within and across these domains.",,,,,2025,"https://github.com/duyguutkucu/HBPO, https://doi.org/10.1016/j.autcon.2025.106197","pi, mat, beo, bot",,,Facilities Management,,,
hmo.ttl,Historic Masonry Ontology,hmo,https://w3id.org/hmo#,"The Historic Masonry Ontology (HMO) aims to represent the historic masonry material by considering its heterogeneous nature and defining the configuration of units and joints in the wall. The proposed namespace is , with the preferred prefix hmo.

The ontology includes reference masonry types and their mechanical parameters, together with a set of SWRL rules to deduce masonry quality and mechanical parameters for any other masonry type. The ontology is designed to be used with other existing ontologies and as a semantic enrichment of Building Information Modeling models, offering a wide range of applications in the field of construction and historic preservation.",0.1,https://creativecommons.org/licenses/by/1.0,"Maria Laura Leonardi, Stefano Cursi, Elena Gigliarelli, José Granja, Daniel Oliveira, Miguel Azenha.",,2024-04-02,https://mlaura1996.github.io/HistoricMasonryOntology/,"dcterms, vann, voaf, swrla, swrl, swrlb, foaf, mat, beo, saref, dot",,,BE Product (Building),BE Product (Infrastructure),,
icdd2ams.ttl,Asset Condition Integration from ICDD to AMS (icdd2ams),icdd2ams,https://icdd.vm.rub.de/ontology/icdd2ams#,Ontology for integrating BOT located asset conditions using eurotl and asbing ontologies into sql based asset management systems. It relates the condition to building elements.,,https://creativecommons.org/licenses/by/4.0/,"Philipp Hagedorn, Liu Liu",,2021-03-24,https://link.springer.com/chapter/10.1007/978-3-030-91877-4_127,"asbing, eurotl, prov, dcterms, vann, bot",,,BE Product (Infrastructure),Quality,,ICDD
idpo.ttl,Information Delivery Processes Ontology (IDPO),idpo,https://icdd.vm.rub.de/ontology/idpo#,"Models information delivery workflows in building projects, based on ISO-19650 and BPMN. Captures actors, appointments, information containers, requirements, and SHACL validation templates, facilitating semantic compliance and structured data delivery in construction planning.",v0.2,https://creativecommons.org/licenses/by/4.0/,"n4304f171f1d34ca18d855620de3bc4d0b1, n4304f171f1d34ca18d855620de3bc4d0b3",,2023-02-20,https://ceur-ws.org/Vol-3081/08paper.pdf,"bpmn, ct, dc, dcterms, prov, sdo, sh, skos, vann, voaf",,,Information Management,,,ISO 19650
